feature,importance,abs_importance
n_chars,0.40824383960772476,0.40824383960772476
avg_leading_spaces,0.09527119865284112,0.09527119865284112
n_keywords_present,0.09491145920557689,0.09491145920557689
n_functions,0.07158780181610386,0.07158780181610386
n_ops_chars,0.06884617415989966,0.06884617415989966
n_indent_tokens,0.051834371991690734,0.051834371991690734
n_lines,0.04464880360236393,0.04464880360236393
n_names_total,0.02993944069325334,0.02993944069325334
n_paren_close,0.029078919763703685,0.029078919763703685
n_unique_var_names,0.0253634807029204,0.0253634807029204
n_tokens,0.022492374727668848,0.022492374727668848
n_paren_open,0.01680464778503995,0.01680464778503995
n_bracket_close,0.01654611474219318,0.01654611474219318
n_bracket_open,0.007755991285403052,0.007755991285403052
n_comments,0.006980392156862742,0.006980392156862742
n_assignments,0.005816993464052288,0.005816993464052288
n_brace_close,0.0038779956427015248,0.0038779956427015248
n_brace_open,0.0,0.0
ast_syntax_error,0.0,0.0
ast_parse_success,0.0,0.0
n_tab_chars,0.0,0.0
n_newline_tokens,0.0,0.0
has_tab_indentation,0.0,0.0
