feature,importance,abs_importance
n_functions,0.442535154873788,0.442535154873788
avg_leading_spaces,0.19542275214075105,0.19542275214075105
n_newline_tokens,0.136244304382244,0.136244304382244
n_unique_var_names,0.09008433111837902,0.09008433111837902
n_ops_chars,0.036066781794370964,0.036066781794370964
n_bracket_open,0.02521899300961886,0.02521899300961886
n_paren_close,0.022382552755170492,0.022382552755170492
n_bracket_close,0.020554834638875023,0.020554834638875023
n_paren_open,0.011146578698922098,0.011146578698922098
n_keywords_present,0.010244879207340416,0.010244879207340416
n_tab_chars,0.010098837380540055,0.010098837380540055
n_chars,0.0,0.0
ast_syntax_error,0.0,0.0
n_names_total,0.0,0.0
n_assignments,0.0,0.0
n_brace_open,0.0,0.0
ast_parse_success,0.0,0.0
n_brace_close,0.0,0.0
n_lines,0.0,0.0
n_indent_tokens,0.0,0.0
n_comments,0.0,0.0
n_tokens,0.0,0.0
has_tab_indentation,0.0,0.0
