feature,importance,abs_importance
n_chars,0.23973132579520223,0.23973132579520223
n_tokens,0.08553751804474205,0.08553751804474205
avg_leading_spaces,0.08217621167979001,0.08217621167979001
n_ops_chars,0.06727363988034855,0.06727363988034855
n_names_total,0.060453525514862855,0.060453525514862855
n_lines,0.05409098275653846,0.05409098275653846
n_newline_tokens,0.04920390854871727,0.04920390854871727
n_keywords_present,0.048315222295917865,0.048315222295917865
n_paren_open,0.04657990864589083,0.04657990864589083
n_paren_close,0.03907944085510167,0.03907944085510167
n_unique_var_names,0.03690562523562729,0.03690562523562729
n_assignments,0.02632068376690632,0.02632068376690632
n_indent_tokens,0.025881639273077274,0.025881639273077274
n_brace_close,0.021406809808067872,0.021406809808067872
n_bracket_open,0.020710889916389762,0.020710889916389762
n_brace_open,0.01812266448621962,0.01812266448621962
n_bracket_close,0.01779425842767499,0.01779425842767499
n_functions,0.017031801803601587,0.017031801803601587
ast_parse_success,0.013981286604926112,0.013981286604926112
n_comments,0.011529151815578486,0.011529151815578486
ast_syntax_error,0.009693698298826674,0.009693698298826674
has_tab_indentation,0.0044988616668353645,0.0044988616668353645
n_tab_chars,0.003680944879156693,0.003680944879156693
